Item,Name,Country,Region,Style,Description,Grapes,Pair With,Avg Price USD,Vintage,Score
29,The Four Graces Reserve Pinot Noir,USA, Dundee Hills,"Red, Savory and Classic","A delicate and polished beauty, with expressive violet and raspberry aromas that open to gracefully layered cherry and spiced cinnamon accents that build richness toward refined tannins.",Pinot Noir,"Duck, Goose and Game Birds",30,2017,94
30,Pinyolet Garnacha,Spain,Montsant,"Red, Rich and Intense","This red has density and polish, with cherry and red plum flavors accented by forest floor, tobacco and licorice notes. Solid and balanced.",Grenache ,Lamb,15,2016,91
31,Forge Cellars Classique Dry Riesling,USA,Seneka lake,"White, Tropical and Balanced","Distinct, with mustard flower, yellow apple, quince and jasmine notes mixed together, carried on a slightly rounded, waxy frame and ending with a flash of quinine.",Riesling,White Fish,8,2018,91
32,Foradori Fontanasanta Manzoni Bianco Vigneti delle Dolomiti IGT,Italy,Trentino-Alto Adige,"White, Green and Flinty","Fragrant aromas and flavors of macerated peach, chamomile and white raspberry are finely meshed in this elegant, medium-bodied white, with mouthwatering acidity. Bright and distinctive, offering a lasting, spice- and saline-laced finish. Lightly chalky in texture.",Manzoni Bianco,White Fish,25,2018,93
33,Ken Wright Cellars Pinot Noir,USA,Willamette Valley,"Red, Light and Perfumed","Sleek and elegantly rich, with a vibrant backbone of polished tannins and bright acidity wrapped in expressive raspberry and orange zest flavors, with sandalwood and other zesty spice notes. ",Pinot Noir,Chicken and Turkey,26,2017,91
34,Glenelly Estate Reserve Chardonnay,South Africa,Stellenbosch,"White, Buttery and Complex","Expressive and profound, beautifully balancing oak and fruit and floral flavors. Notes of apple, mint, heather and butter mingle in harmony, supported by vivid acidity. Picks up a bit of crunch toward the long, mouthwatering finish, adding to the interesting texture. ",Chardonnay ,Cheddar and Gruyere,21,2018,92
35,F E Trimbach Riesling,France,Alsace,"White, Green and Flinty","A sleek, minerally white, with well-cut acidity defining flavors of white peach, pine and preserved lemon, showing a rich hint of passion fruit coulis. Fine and creamy, offering a lasting finish. ",Riesling,Meaty and Oily Fish,19,2017,91
36,Marchesi Frescobaldi Tenuta Perano Chianti Classico DOCG,Italy,Tuscany,"Red, Savory and Classic","The core black cherry and blackberry flavors are shaded by iron, petrol and tar elements, with wild Tuscan scrub accents. This is powerful and tannic, and needs some time to integrate.",Chianti Blend,Lamb,25,2015,92
37,Bergstrom Cumberland Reserve Pinot Noir,USA,Yamhill-Carlton Distric,"Red, Light and Perfumed","Dynamic yet harmonious, with expressive raspberry and rose petal aromas, accented by flavors of orange peel and dusky spice. Builds richness toward polished tannins.",Pinot Noir,Chicken and Turkey,44,2018,94
38,Bodegas Juan Gil 18 Meses Blue Label Monastrell,Spain,Jumilla,"Red, Rich and Intense","This brawny red shows a savory character, with loamy earth, black tea and tobacco notes framing a rich core of currant and blackberry flavors. The muscular tannins are balanced by juicy acidity. Dense, balanced and expressive. Monastrell, Cabernet Sauvignon and Syrah.",Mourvedre (Monastrell),Lamb,33,2017,94
39,Boscarelli Vino Nobile di Montepulciano DOCG,Italy,Tuscany,"Red, Bold and Structured","Expressive and harmonious, this red exhibits cherry, blackberry, violet and mineral aromas and flavors. Pure and elegant, with an underlying tension and intensity that drives the lingering aftertaste of fruit, stone and earth, showing a hint of wild herbs. Sangiovese, Canaiolo, Mammolo and Colorino. ",Sangiovese,Beef and Venison,34,2016,94
40,Tensley Colson Canyon Vineyard Syrah,USA,Santa Barbara County,"Red, Rich and Intense","Shows ample torque at the core, wrapped in multilayered flavors of blueberry and cherry, accented by licorice, garrigue and crushed rock notes, finishing with brooding yet polished tannins. ",Syrah,Lamb,45,2018,94
41,Penfolds Bin 28 Kalimna Shiraz,Australia ,South Australia,"Red, Rich and Intense","Shows terrific concentration, with dense and chewy tannins providing an appealing backdrop to the blueberry, dried cherry, date and candied ginger flavors. Tobacco, tomato leaf and espresso notes linger on the finish.",Shiraz,Beef and Venison,32,2018,93
42,Gloria Ferrer Royal Cuvee Brut Sparkling,USA,Carneros,"Sparkling, Complex and Traditional","A sumptuous and rich style, with vibrant Asian pear, fresh yeast roll and spiced nut flavors, taking on a steely structure on the long finish. ",Chardonnay - Pinot Noir,"Shellfish, Crab and Lobster",32,2013,93
43,Domaine Bousquet Malbec,Argentina,Tupungato,"Red, Bold and Structured","Offers a smoky aroma, with refined raspberry and red currant flavors, backed by crunchy acidity. Savory midpalate, with a fine-grained finish that offers black licorice and tar notes.",Malbec,Beef and Venison,10,2019,90
44,Hartford Family Winery Hartford Court Russian River Valley Chardonnay,USA,Sonoma County,"White, Buttery and Complex","Luscious, rich and full of creamy white fruit flavors flanked by buttery accents. Spicy plushness lingers into the finish, with some honeyed notes.",Chardonnay ,Mushrooms,29,2018,92
45,Ferraton Pere & Fils Crozes-Hermitage Les Calendes,France,Rhone,"Red, Rich and Intense","Juicy and compact, featuring dark plum and blackberry fruit flavors, wrapped in sweet tobacco and licorice root notes. Shows a tarry edge on the finish.",Syrah,Lamb,33,2017,92
46,Vasse Felix Filius Cabernet Sauvignon,Australia ,Margaret River,"Red, Bold and Structured","Firm, showing off the region's signature fresh herbal notes, which give this aromatic lift and linger on the finish. Bay leaf, rosemary and cedar details are effortlessly infused into the cassis and plum flavors. A hint of black tea adds to the complexity, as does the seamlessness of the velvety tannins.",Cabernet Sauvignon,Beef and Venison,25,2017,92
47,Vietti Tre Vigne,Italy,Barbera d'Asti DOCG,"Red, Savory and Classic","High-toned black currant, black cherry and violet aromas and flavors are accented by vanilla and toast notes in this suave red. Supple and intense, with a lingering aftertaste of dark fruit, licorice and spice. ",Barbera,"Duck, Goose and Game Birds",19,2017,91
48,Maggy Hawk Jolie Pinot Noir,USA,Anderson Valley,"Red, Light and Perfumed","Fine-grained red fruit and berry flavors are refined and etched with rich spice and sandalwood accents. The juicy finish lingers with vibrant minerality and hot stone notes. Complex and elegant, exhibiting a vibrant balance.",Pinot Noir,Chicken and Turkey,62,2017,95
49,Istine Chianti Classico DOCG,Italy,Tuscany,"Red, Savory and Classic","Broad and rich, this Chianti Classico boasts black cherry, blackberry, violet and woodsy underbrush notes. Turns taut and sinewy, flexing tannic might on the finish. Food or a little bottle age will help.",Chianti Blend,Lamb,25,2016,93
50,Los Vascos Sauvignon Blanc,Chile,Casablanca Valley,"White, Green and Flinty","A snappy and juicy version, with melon, grapefruit and lemon drop flavors that are well-structured. Zesty acidity lingers into the well-spiced finish. ",Sauvignon Blanc,Salads and Green Vegetables,11,2019,90
51,Paul Hobbs Goldrock Estate Pinot Noir,USA,Sonoma Coast,"Red, Savory and Classic","Rich and contoured, with ferrous notes to the well-structured red currant, dark cherry and dried blackberry flavors. Supple minerality shows on the spicy finish, where light creamy accents linger. ",Pinot Noir,"Duck, Goose and Game Birds",85,2018,95
52,Domaine Vincent Careme Vouvray Le Clos,France,Loire,"White, Tropical and Balanced","Searing acidity flows behind the notes of glazed pear, fig and quince, with hints of blanched almond echoing. Silky in texture, with a savory mineral crunch, this gets a bit tight midpalate, but the acidity takes over and keeps this going on the long, spice-infused finish. Could work now with the right food, but better to wait a bit.",Chenin Blanc,Chicken and Turkey,37,2018,93
53,Dry Creek Vineyard Spencer's Hill Vineyard Zinfandel,USA,Dry Creek Valley,"Red, Rich and Intense","A knockout example of Dry Creek Zin, this is briary yet polished and refined, with lively raspberry, grilled anise and cracked pepper flavors that build power and tension toward broad-shouldered tannins.",Zinfandel,Lamb,44,2016,94
54,Travaglini Gattinara DOCG,Italy,Piedmont,"Red, Savory and Classic","Bursting with sweet, ripe cherry and plum fruit, this Gattinara also evokes salty licorice, loam, leather and rose hip notes. Firm and balanced, with a minerally aftertaste. ",Nebbiolo,Lamb,33,2015,92
55,R. Lopez de Heredia Vina Tondonia Gran Reserva Rosado,Spain,Rioja DOCa,"Rose, Rich and Fruity","The deep, rusty color announces that this is not a typical rosé. Distinctive, offering tangy acidity and light, firm tannins that frame the rich texture, giving this plenty of structure for food. Orange peel, tarragon, iodine and beeswax notes frame the dried cherry and tangerine flavors. Unique. Garnacho, Tempranillo and Viura.",Rioja Red Blend,Tomato-based Dishes,122,2009,93
56,Familia Zuccardi  Jose Zuccardi Malbec,Argentina,Uco Valley,"Red, Bold and Structured","Explosively fruity aromas and flavors of blackberry, dark cherry and plum tart are creamy and filled with rich savory and cooking spice accents. Powerfully structured, showing dark chocolate and mocha on the finish, with hints of dried mint.",Malbec,Beef and Venison,40,2016,94
57,Chateau Figeac,France,Saint-Emilion Grand Cru,"Red, Savory and Classic","This starts slowly, with black tea and sunbaked loam aromas leading off, followed by a deep well of black currant, fig and blackberry preserve flavors that form the core. From there, iron and espresso cream threads line the finish, where the fruit drips slowly and the aromas linger seductively. This will be a slow burn. Cabernet Sauvignon, Merlot and Cabernet Franc.",Bordeaux Blend Red,Beef and Venison,212,2017,96
58,Mount Veeder Winery Cabernet Sauvignon,USA,Napa Valley,"Red, Bold and Structured","Distinctive, with blueberry and açaí berry fruit flavors, infused liberally with sassafras, bay leaf and sweet spice notes. A beautiful rendition of mountain fruit, laced with racy acidity and carried by smoldering tannins.",Cabernet Sauvignon,Beef and Venison,40,2017,93
59,Southern Right Sauvignon Blanc,South Africa,Walker Bay,"White, Green and Flinty","This displays intensity and precision, with notes of fleur de sel and sage underscoring grapefruit and white peach flavors. Shows a bit of crunch in texture. Long, inviting and quite balanced. ",Sauvignon Blanc,Goats' Cheese and Feta,17,2019,90
60,Il Conte Villa Prandone Marinus Rosso Piceno Superiore,Italy,Marche,"Red, Bold and Structured","A rich, medium- to full-bodied red in a well-tailored frame, knitting saturated flavors of crushed boysenberry, pomegranate, black licorice, toast and spice to fine-grained tannins and a graphite-laced underpinning that echoes on the finish. Montepulciano and Sangiovese.",Montepulciano - Sangiovese,Beef and Venison,18,2017,91
61,Marichal Premium Tannat,Uruguay,Canelones,"Red, Bold and Structured","Pure-tasting red currant and raspberry flavors are supported by crunchy acidity in this juicy style. Mineral and white pepper accents show midpalate, with freshly crushed cooking spice details on the finish.",Tannat,Beef and Venison,17,2018,90
62,Francois Chidaine Clos de la Grange Touraine Sauvignon,France,Loire,"White, Green and Flinty","An atypical version, with a gorgeous mix of orchard blossom, yellow apple and elderflower flavors, showing hints of lemon. Elegant yet very expressive, driven by vibrant acidity and a minerally backbone. Turns savory on the well-defined finish. ",Sauvignon Blanc,Meaty and Oily Fish,16,2018,90
63,DeLille Cellars D2,USA,Columbia Valley,"Red, Bold and Structured","Opens with supple and expressive red currant, green olive and clove flavors, then shifts gears and takes on increasingly muscular yet polished tannins on the long finish. Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot. ",Bordeaux Blend Red,Beef and Venison,44,2017,93
64,La Crema Willamette Valley Pinot Noir,USA,Oregon,"Red, Light and Perfumed","Sleek and vibrant, with snappy raspberry and red plum flavors accented by sweet basil and spice and finishing with fine-grained tannins.",Pinot Noir,Chicken and Turkey,28,2018,92
65,Ployez-Jacquemart Extra Quality Brut,France,Champange,"Sparkling, Complex and Traditional","A lovely hint of honeysuckle accents the flavors of mirabelle plum, white cherry, anise and grated ginger in this vibrant Champagne, which is finely knit and detailed in texture, with a mouthwatering finish of ripe fruit, spice and chalk accents.",Champange Blend,"Shellfish, Crab and Lobster",48,na,92
66,Invivo X SJP Sarah Jessica Parker Sauvignon Blanc,New Zealand, Marlborough,"White, Green and Flinty","White flowers. Fresh, zippy with great concentration, delicate lemon. Appealing.",Sauvignon Blanc,Goats' Cheese and Feta,17,2019,90
67,Chateau de Beaucastel Chateauneuf-du-Pape,France,Rhone,"Red, Rich and Intense","A dark and winey style, offering a mix of plum, black currant and black cherry notes, infused with black tea, fruitcake and anise accents. Solidly built, vibrant and energetic from start to finish, this carries copious fruit easily through the lengthy finish. Grenache, Cinsault, Syrah, Mourvèdre and Counoise.",Southern Rhone Red Blend,Lamb,85,2017,95
68,Mt. Brave Cabernet Sauvignon,USA,Mount Veeder,"Red, Bold and Structured","This offers blackberry, boysenberry and açaí berry compote flavors that sparkle with anise, sassafras and sage accents. Shows serious tarry grip, but that recedes into the fruit as this airs in the glass, leaving embers of singed juniper and alder at the very end.",Cabernet Sauvignon,Beef and Venison,100,2017,95
69,Luigi Bosca Single Vineyard D.O.C. Malbec,Argentina, Lujan de Cuyo,"Red, Rich and Intense",Sandalwood-inflected dried cherry and berry flavors are filled with sanguine richness. The lusciously spiced finish features a creamy texture.,Malbec,Beef and Venison,25,2017,91
70,Suavia Monte Carbonare Soave Classico,Italy,Veneto,"White, Green and Flinty","Svelte and finely knit, this vivid white is driven by both its minerally underpinning and its rapierlike acidic frame, components well-meshed with the pleasing range of pink grapefruit sorbet, nectarine and grated ginger notes, plus a touch of almond skin that imparts a light, tactile sensation to the racy finish.",Garganega,White Fish,23,2017,92
71,Stark-Conde Cabernet Sauvignon,South Africa,Stellenbosch,"Red, Bold and Structured","Elegant, with dark plum and currant notes that are lively and balanced due to a bright beam of acidity and soft tannins, lending support and depth. Not a big Cabernet, but one that would pair well with a variety of foods.",Cabernet Sauvignon,Lamb,22,2017,91
72,Mercer Bros. Cabernet Sauvignon,USA,Horse Heaven Hills,"Red, Bold and Structured","A spry and appealing red, with lively black cherry and dried sage flavors that add richness toward fine-grained tannins.",Cabernet Sauvignon,Beef and Venison,17,2017,90
73,Spy Valley Sauvignon Blanc,New Zealand, Marlborough,"White, Green and Flinty","Ruby grapefruit, passionfruit and green apple flavors are vibrant and expressive on a juicy frame. Shows off terrific transparency to the fruit flavors, and a long finish where a touch of Dragonwell green tea peeks through.",Sauvignon Blanc,Goats' Cheese and Feta,17,2019,90
74,Jermann Pinot Grigio Venezia Giulia IGT,Italy,Friuli Venezia Giulia,"White, Green and Flinty","A minerally version, creamy and medium-bodied, with tangy acidity and a zesty edge to the flavors of poached pear, apricot tart and anise, showing a hint of toasted almond that echoes on the finish.",Pinot Grigio,White Fish,33,2017,91
75,Chateau de Pibarnon Bandol,France,Provence,"Red, Bold and Structured","A whiff of white pepper and bay leaf gives way to bright raspberry and currant flavors backed by tangy acidity, along with details of game, anise and tea that add depth and interest. Powerful but inviting. Mourvèdre and Grenache.",Grenache - Mourvedre ,Lamb,41,2016,92
76,El Cep Gelida Gran Reserva Brut Cava,Spain,Catalonia,"Sparkling, Complex and Traditional","Apricot and tangerine flavors are set on the fine mousse of this expressive Cava, layered with hints of pastry cream, toasted almond and candied ginger. Fresh and zesty on the lingering finish.",Cava Blend,Manchego and Parmesan,19,2015,90
77,Ridge Vineyards Monte Bello,USA,Santa Cruz Mountains,"Red, Bold and Structured","Distinctive, with vibrant flavors of violet, juniper and anise out front, backed by a core of intense dark currant, plum and cherry fruit. Firmly grounded, showing serious cut and drive through the bay leaf– and sage-accented finish, which sports ample toast alongside the fruit and floral elements. A chiseled, ripped Cabernet for the cellar. Cabernet Sauvignon, Merlot, Petit Verdot and Cabernet Franc.",Bordeaux Blend Red,Beef and Venison,248,2017,96
78,Clos Fourtet,France,Saint-Emilion Grand Cru,"Red, Savory and Classic","Very pure, with clearly defined plum, blackberry and black cherry preserve flavors gliding through, gently infused with anise and black tea details along the way. The fruit is so seductive you might miss the sneaky, graphite-edged grip that builds through the finish, promising solid cellaring potential. Merlot, Cabernet Sauvignon and Cabernet Franc.",Bordeaux Blend Red,Beef and Venison,132,2017,95
79,Stoller Family Estate Pinot Noir,USA,Oregon,"Red, Light and Perfumed","Driven with aromatics, the nose is bright, showing perfumed red fruits with undertones of earth and baking spice. The palate soft and supple, with dark cherry flavors balanced by a delicate tension from the tannins.",Pinot Noir,Chicken and Turkey,35,2018,90
80,Jamieson Ranch Vineyards Reata Chardonnay,USA,Sonoma Coast,"White, Buttery and Complex","Rich, with flint and sea salt notes to the dried fig, quince and preserved lemon flavors, followed by egg cream accents on the well-spiced finish.",Chardonnay ,Mushrooms,19,2018,90
81,Chateau Smith Haut Lafitte Blanc,France,Pessac-Leognan,"White, Green and Flinty","Juicy energy ripples from start to finish, with gooseberry, yellow apple, chamomile, tarragon and verbena notes giving this a tangy and flattering character. Reveals a long salted butter edge on the finish. Lovely now, but will fan out and become plumper with time. Sauvignon Blanc, Sémillon and Sauvignon Gris.",Bordeaux Blend Red,Meaty and Oily Fish,143,2017,96
82,Tormaresca Torcicoda Primitivo del Salento IGT,Italy,Puglia,"Red, Rich and Intense","Well-balanced and fresh, this medium-bodied red features a thread of ground spice that underscores flavors of crushed black raspberry, cherry, thyme and red licorice. Light tannins sculpt the clean-cut finish.",Primitivo,Beef and Venison,21,2016,90
83,Golan Heights Winery Yarden Cabernet Sauvignon,Israel,Galilee,"Red, Rich and Intense","Glossy, full tannins encase the brooding layers of dark cherry reduction and steeped currant, infused with sandalwood, anise and mocha details. This has nice elegance despite the power, with black tea and floral notes chiming in on the finish. Kosher.",Cabernet Sauvignon,Beef and Venison,34,2017,91
84,Delas Freres Saint-Joseph Les Challeys Blanc,France,Rhone,"White, Tropical and Balanced","Very bright and engaging style, with a flurry of honeysuckle and acacia notes out front followed quickly by lively white peach, Jonagold apple and star fruit flavors. Light quinine inlay adds an extra note of intrigue.",Marsanne - Roussanne,Chicken and Turkey,23,2019,94
85,Koehler-Ruprecht Spatburgunder Kabinett Trocken,Germany,Pfalz,"Red, Light and Perfumed","Quite juicy, with wild cherry, hibiscus and black tea notes that are in good harmony, supported by light tannins and prominent acidity. Offers a beautiful mouthfeel that coats the palate and invites you back for another sip.",Pinot Noir,Meaty and Oily Fish,23,2017,90
86,Chateau Thivin Brouilly Reverdon,France,Beaujolais,"Red, Light and Perfumed","Lively acidity cuts through the bright cherry and currant notes of this mouthwatering red, showing details of white pepper, wet stone and dried herb that dovetail onto the finish. Offers light, integrated tannins, with great energy and focus throughout.",Gamay,Chicken and Turkey,28,2018,91
87,Wine & Soul Pintas Tinto,Portugal,Douro,"Red, Rich and Intense","A generous, harmonious red, boasting steeped cherry, blackberry coulis and cedar flavors that meld into violet, black tea and graphite accents. Details of olive, wild herb and ripe currant play into the finish. Powerful and refined.",Portuguese Red Blend,Beef and Venison,107,2017,96
88,Sleight Of Hand Cellars The Archimage Red,USA,Columbia Valley,"Red, Bold and Structured","Svelte and seamlessly complex, featuring refined cherry and blueberry flavors, with hints of lead pencil and spice that build energy toward polished tannins. Cabernet Franc, Merlot and Cabernet Sauvignon.",Bordeaux Blend Red,Beef and Venison,54,2016,93
89,Chateau Cambon La Pelouse,France,Haut-Medoc,"Red, Savory and Classic","This packs in some bramble, black cherry and blackberry fruit flavors, harnessing them with a singed alder frame and keeping them moving along with fresh acidity. Cabernet Sauvignon, Merlot and Petit Verdot.",Bordeaux Blend Red,Beef and Venison,17,2017,90
